id,product_id,employee_id,sale_date,quantity,amount
1,1,2,2024-01-10,2,179998
2,2,2,2024-01-15,5,9995
3,7,6,2024-01-20,3,44997
4,3,6,2024-02-05,1,34999
5,5,11,2024-02-14,2,57998
6,1,2,2024-02-20,1,89999
7,8,6,2024-03-01,1,39999
8,6,2,2024-03-10,4,99996
9,10,11,2024-03-22,3,38997
10,4,6,2024-04-01,10,39990
11,7,2,2024-04-15,2,29998
12,1,11,2024-04-20,1,89999
13,9,6,2024-05-05,20,9980
14,8,2,2024-05-18,2,79998
15,3,11,2024-06-02,3,104997
16,6,6,2024-06-10,2,49998
17,2,2,2024-06-25,8,15992
18,10,11,2024-07-01,2,25998
19,1,6,2024-07-15,1,89999
20,5,2,2024-07-20,1,28999
21,7,11,2024-08-05,4,59996
22,4,6,2024-08-12,6,23994
23,8,2,2024-09-01,1,39999
24,3,11,2024-09-18,2,69998
25,6,6,2024-10-10,3,74997
26,1,2,2024-10-22,2,179998
27,9,11,2024-11-05,15,7485
28,10,6,2024-11-20,4,51996
29,7,2,2024-12-01,5,74995
30,2,11,2024-12-15,12,23988
